audio_file,local_year,local_artist_slug,local_title_slug,HCI_v1_score,HCI_v1_raw,HCI_axis_Danceability,HCI_axis_Energy,HCI_axis_LoudnessFit,HCI_axis_RuntimeFit,HCI_axis_TempoFit,HCI_axis_Valence,feat_tempo_bpm,feat_duration_sec,feat_loudness_LUFS,feat_danceability,feat_energy,feat_valence,spotify_id,spotify_tempo,spotify_duration_sec,spotify_loudness,spotify_danceability,spotify_energy,spotify_valence,tempo_drift_pct,duration_drift_pct,loudness_diff_db,danceability_diff,energy_diff,valence_diff,drift_pct_vs_EchoTarget_v2,drift_pct_vs_success_index_raw,drift_pass_fail_vs_EchoTarget_v2,meta_year,meta_year_end_rank,meta_title,meta_artist,meta_best_rank,meta_weeks_on_chart,meta_chart_points,meta_s_rank,meta_s_weeks,meta_s_peak,meta_success_index_raw,meta_echo_z,meta_EchoTarget_v2,meta_echo_decile,meta_id,meta_spotify_album,meta_spotify_artist,meta_spotify_id,meta_spotify_name,meta_spotify_popularity,meta_spotify_release_date
features_output/2025/11/22/1985/1985_foreigner__i_want_to_know_what_love_is__album/1985_foreigner__i_want_to_know_what_love_is__album.hci.json,1985,foreigner,i want to know what love is,0.5633024400190094,0.2757823305112696,0.288408530851917,0.3610912179194051,0.9864340716221796,1.4555082652525036e-11,0.08280153170414,0.4223927025776003,80.74951171875,303.1597278911565,-18.45699936545909,0.288408530851917,0.3610912179194051,0.5644364871677621,1JLn8RhQzHz3qDqsChcmBl,81.204,304.787,-10.036,0.477,0.471,0.423,-0.5596870612900763,-0.5339046969993796,-8.42099936545909,-0.188591469148083,-0.10990878208059485,0.14143648716776208,277.1289137427679,46.11075166288795,FAIL,1985,35,I Want To Know What Love Is,Foreigner,1,17,1319.0,0.1282051282051282,0.40476190476190477,1.0,0.38553113553113555,-1.3381401113403544,0.14936601769102933,1,35,Agent Provocateur,Foreigner,1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,85.0,1984
features_output/2025/11/22/1985/1985_glenn_frey__the_heat_is_on__album/1985_glenn_frey__the_heat_is_on__album.hci.json,1985,glenn frey,the heat is on,0.5766281732749823,0.28276580903728804,0.3339757744484863,0.3691300786280607,0.7914516991040795,0.02407567762401959,0.029848817234061447,0.4395645062891002,74.89809782608695,225.14068027210885,-17.785158034788193,0.3339757744484863,0.3691300786280607,0.5676520314512242,0PXw9NKvolWTo7U9JkNzmc,149.583,225.507,-7.015,0.649,0.857,0.962,-49.92873667055284,-0.1624427303326072,-10.770158034788192,-0.3150242255515137,-0.4878699213719393,-0.39434796854877574,14.721262817765718,-9.293652755595067,PASS,1985,17,The Heat Is On,Glenn Frey,2,20,1417.0,0.5897435897435898,0.47619047619047616,0.98989898989899,0.6357087357087358,0.008104961588038093,0.5026340881471588,6,17,Above The Clouds - The Collection (Deluxe),Glenn Frey,0PXw9NKvolWTo7U9JkNzmc,"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",64.0,2018-04-27
features_output/2025/11/22/1985/1985_howard_jones__things_can_only_get_better__album/1985_howard_jones__things_can_only_get_better__album.hci.json,1985,howard jones,things can only get better,0.9937114310345783,0.5013422969630414,0.5614971029475152,0.36883810198731104,0.8058226381083012,0.004205808865885937,0.9532130060898774,0.6202997618876588,107.666015625,235.54321995464852,-17.819921257181136,0.5614971029475152,0.36883810198731104,0.5675352407949243,2zbXf2qz52eXmw4dpHWWq6,108.254,235.827,-6.083,0.752,0.743,0.832,-0.5431525624919217,-0.12033399286403906,-11.736921257181136,-0.1905028970524848,-0.37416189801268895,-0.2644647592050756,42.4628674063472,31.85478098239965,FAIL,1985,9,Things Can Only Get Better,Howard Jones,5,23,1454.0,0.7948717948717949,0.5476190476190477,0.9595959595959596,0.7536408036408037,0.6427159950342611,0.6975231154095843,8,9,Dream Into Action (2018 Expanded & Remastered Edition),Howard Jones,2zbXf2qz52eXmw4dpHWWq6,Things Can Only Get Better - 2018 Remaster,58.0,1985-03-11
features_output/2025/11/22/1985/1985_huey_lewis_and_the_news__the_power_of_love__album/1985_huey_lewis_and_the_news__the_power_of_love__album.hci.json,1985,huey lewis and the news,the power of love,0.9668212674694374,0.4872502484272421,0.5035879240271972,0.3756506429990568,0.7062940451712755,0.005507787161088884,0.9269289476361902,0.6118261887399197,117.45383522727273,234.05714285714285,-17.59086225985431,0.5035879240271972,0.3756506429990568,0.5702602571996227,3tMW1Zbt9Z6cnEBO0HSZ5t,118.39,234.16,-5.471,0.68,0.79,0.818,-0.7907464927166711,-0.043926009078043546,-12.119862259854308,-0.17641207597280284,-0.4143493570009432,-0.24773974280037725,54.57602010821678,36.65141393691765,FAIL,1985,11,The Power Of Love,Huey Lewis & The News,1,19,1440.0,0.7435897435897436,0.4523809523809524,1.0,0.7075091575091574,0.3944743408385335,0.6254665288914656,7,11,Back To The Future (Original Motion Picture Soundtrack),Huey Lewis & The News,3tMW1Zbt9Z6cnEBO0HSZ5t,The Power Of Love - From “Back To The Future” Soundtrack,43.0,1985-01-01
features_output/2025/11/22/1985/1985_jan_hammer__miami_vice_theme__album/1985_jan_hammer__miami_vice_theme__album.hci.json,1985,jan hammer,miami vice theme,1.0,0.5812652907117273,0.6919549650310954,0.36016772648813977,0.9024182903149134,0.2581911510366789,0.9795814574168512,0.6976964442975985,114.84375,146.37859410430838,-18.084095936593048,0.6919549650310954,0.36016772648813977,0.5640670905952558,1biP5gM7Le8S3E7GJEKgXC,115.438,147.72,-10.314,0.569,0.92,0.879,-0.5147784958159379,-0.9080733114619701,-7.770095936593048,0.12295496503109549,-0.5598322735118603,-0.31493290940474417,520.6439298784378,151.03448275862067,FAIL,1985,34,Miami Vice Theme,Jan Hammer,1,17,1328.0,0.15384615384615385,0.40476190476190477,1.0,0.3983516483516484,-1.2691509124481346,0.16112298080412463,2,34,Escape From Television,Jan Hammer,1biP5gM7Le8S3E7GJEKgXC,Miami Vice Theme,42.0,1987-01-01
features_output/2025/11/22/1985/1985_john_parr__st_elmos_fire_man_in_motion__album/1985_john_parr__st_elmos_fire_man_in_motion__album.hci.json,1985,john parr,st elmos fire man in motion,1.0,0.5282462770481969,0.637835961798444,0.36476729924837764,0.8311802812241983,0.0001641674658929688,0.9996926215910155,0.667017612185451,112.34714673913044,251.14702947845805,-17.88336228431654,0.637835961798444,0.36476729924837764,0.565906919699351,1A2PWRltFrX8iB8IP3CUgo,111.203,251.8,-10.945,0.612,0.6,0.471,1.0288811804811329,-0.259321096720397,-6.93836228431654,0.02583596179844405,-0.23523270075162234,0.09490691969935106,61.6714922730332,42.187500000000014,FAIL,1985,13,St. Elmo's Fire (Man In Motion),John Parr,1,22,1434.0,0.6923076923076923,0.5238095238095238,1.0,0.7032967032967032,0.37180646120251853,0.6185382382140602,7,13,St. Elmo's Fire - Music From The Original Motion Picture Soundtrack,John Parr,1A2PWRltFrX8iB8IP3CUgo,St. Elmos Fire (Man in Motion),62.0,1985-01-01
features_output/2025/11/22/1985/1985_kool_and_the_gang__cherish__single/1985_kool_and_the_gang__cherish__single.hci.json,1985,kool and the gang,cherish,0.8652250653687301,0.4340077827357342,0.5978949845218546,0.3751921898943214,0.737061588224003,0.0027708162088236174,0.5078745798459132,0.6203141259434924,95.703125,237.77233560090704,-17.65925965119386,0.5978949845218546,0.3751921898943214,0.5700768759577286,2yCAGizViD7HZXwNYxJToQ,95.116,340.133,-11.316,0.611,0.516,0.384,0.6172725934648223,-30.094305580197435,-6.3432596511938595,-0.013105015478145354,-0.1408078101056786,0.1860768759577286,3.892414590197385,0.17301128861816328,PASS,1985,2,Cherish,Kool & The Gang,2,25,1598.0,0.9743589743589743,0.5952380952380952,0.98989898989899,0.8637307137307138,1.2351271418853735,0.8328086980956232,9,2,Collected,Kool & The Gang,2yCAGizViD7HZXwNYxJToQ,Cherish - Single Version,68.0,2018-05-25
features_output/2025/11/22/1985/1985_madonna__crazy_for_you__album/1985_madonna__crazy_for_you__album.hci.json,1985,madonna,crazy for you,0.8153975964466065,0.4078952189811253,0.4874970300550715,0.3670135454414734,0.9290817723291421,0.02692474703360782,0.5078745798459132,0.5580614115106861,95.703125,224.397641723356,-18.17425429245662,0.4874970300550715,0.3670135454414734,0.5668054181765894,6G7PVlifniapyhDCmWS2VM,95.01,225.627,-11.93,0.672,0.549,0.588,0.7295284706872907,-0.5448631044351991,-6.2442542924566204,-0.18450296994492854,-0.18198645455852663,-0.021194581823410608,9.756305304196198,3.753690901852035,PASS,1985,6,Crazy For You,Madonna,1,21,1519.0,0.8717948717948718,0.5,1.0,0.785897435897436,0.8162940140652489,0.7429164039247522,8,6,The Immaculate Collection,Madonna,6G7PVlifniapyhDCmWS2VM,Crazy for You - Edit,64.0,1990
features_output/2025/11/22/1985/1985_mary_jane_girls__in_my_house__album/1985_mary_jane_girls__in_my_house__album.hci.json,1985,mary jane girls,in my house,1.0,0.517480881333377,0.5979723236793213,0.40381810208688756,0.9870439270408634,1.9466738923952084e-11,0.9269289476361902,0.676165914578396,117.45383522727273,302.41668934240363,-18.880288863910923,0.5979723236793213,0.40381810208688756,0.581527240834755,11vItFXykyMe5BNKmItbo2,116.832,302.2,-11.037,0.793,0.637,0.943,0.5322473528423207,0.07170395182119134,-7.843288863910923,-0.19502767632067874,-0.23318189791311245,-0.3614727591652449,403.5639465399816,130.00919117647058,FAIL,1985,33,In My House,Mary Jane Girls,7,22,1336.0,0.17948717948717952,0.5238095238095238,0.9393939393939394,0.43476523476523476,-1.0732036683217914,0.19858451083939996,2,33,Only Four You,Mary Jane Girls,11vItFXykyMe5BNKmItbo2,In My House,51.0,1985-01-01
features_output/2025/11/22/1985/1985_murray_head__one_night_in_bangkok__album/1985_murray_head__one_night_in_bangkok__album.hci.json,1985,murray head,one night in bangkok,1.0,0.5188517231130338,0.5800847324951997,0.4182862616886442,0.8801528487866431,0.005507787161088884,0.9532130060898774,0.656018551243393,107.666015625,234.05714285714285,-18.016568284936508,0.5800847324951997,0.4182862616886442,0.5873145046754576,0F8Uf6JE5bCOTVAsoQ98iJ,108.842,193.44,-9.124,0.954,0.451,0.839,-1.0804509059002947,20.997282287604865,-8.892568284936507,-0.3739152675048003,-0.03271373831135582,-0.2516854953245423,352.2599821481233,120.16667073975414,FAIL,1985,31,One Night In Bangkok,Murray Head,3,20,1338.0,0.23076923076923073,0.47619047619047616,0.9797979797979798,0.4542013542013542,-0.9686148481830237,0.22111175860624388,3,31,"One Night in Bangkok (U.S. Club ""Promo"" Long version Remix)",Murray Head,0F8Uf6JE5bCOTVAsoQ98iJ,"One Night in Bangkok - U.S. Club ""Promo"" Long version Remix",30.0,1985
