spotify_id,spotify_uri,spotify_href,tempo,key,mode,time_signature,duration_ms,loudness,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,year,artist,title,year_end_rank
1eyq8cjUQ2daFthW2PC2GM,,,,,,,,,,,,,,,,1986,Peter Cetera,"Glory Of Love (Theme From ""The Karate Kid Part II"")",14
2Di0qFNb7ATroCGB3q0Ka7,,,,,,,,,,,,,,,,1986,Pet Shop Boys,West End Girls,15
4AUS8KNz7zX8XFu9L38GT0,,,,,,,,,,,,,,,,1986,Peter Gabriel,Sledgehammer,16
0046quUYhSAFccrKIC3Iht,,,,,,,,,,,,,,,,1986,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,All Cried Out,17
2kfB5H5vNYcG87SKabmKCa,,,,,,,,,,,,,,,,1986,Whitney Houston,How Will I Know,18
2dURQIBrw3XcHyVZlfdpC1,,,,,,,,,,,,,,,,1986,Stacey Q,Two Of Hearts,19
7opCkB3bkWEstc2UvmbI7u,,,,,,,,,,,,,,,,1986,Berlin,"Take My Breath Away (Love Theme From ""Top Gun"")",20
4AoR61nMXOgXrrNjuusASh,,,,,,,,,,,,,,,,1986,Howard Jones,No One Is To Blame,21
2SFq0UIiBWkBgky0fkrHP0,,,,,,,,,,,,,,,,1986,Janet Jackson,What Have You Done For Me Lately,22
34x6hEJgGAOQvmlMql5Ige,,,,,,,,,,,,,,,,1986,Kenny Loggins,Danger Zone,23
6yJxCltgtmGxIgKOS6ndnu,,,,,,,,,,,,,,,,1986,Whitney Houston,Greatest Love Of All,24
0WoFs3EdGOx58yX5BtXvOa,,,,,,,,,,,,,,,,1986,The Outfield,Your Love,25
22wWxHGHRH8gZXNDXRgSqY,,,,,,,,,,,,,,,,1986,Heart,These Dreams,26
62LJFaYihsdVrrkgUOJC05,,,,,,,,,,,,,,,,1986,Prince And The Revolution,Kiss,27
4JF9MKFo5i85o5ap1JHKYE,,,,,,,,,,,,,,,,1986,Robert Palmer,I Didn't Mean To Turn You On,28
0HzjKCZmFhwcO2vnnHpj9q,,,,,,,,,,,,,,,,1986,Starship,Sara,29
14tERgpNCOzUE1ztMR4CGe,,,,,,,,,,,,,,,,1986,INXS,What You Need,30
5K3Q1gue9nWLLwh6bYQFoB,,,,,,,,,,,,,,,,1986,Mr. Mister,Kyrie,31
00vYs0qZA40Z8AAaN7xmMO,,,,,,,,,,,,,,,,1986,The Bangles,Manic Monday,32
3mJ6pNcFM2CkykCYSREdKT,,,,,,,,,,,,,,,,1986,Janet Jackson,When I Think Of You,33
2cFl7utlqyZjCXN1G5nRvA,,,,,,,,,,,,,,,,1986,Huey Lewis & The News,Stuck With You,34
0Des4gyZ2Z9jq6VA8VPwGE,,,,,,,,,,,,,,,,1986,Orchestral Manoeuvres In The Dark,If You Leave,35
6S7OQQ19MSi5Fo2PQ6LL1u,,,,,,,,,,,,,,,,1986,Jermaine Stewart,We Don't Have To Take Our Clothes Off,36
095MMFhB9qxPx2VsmvjnUs,,,,,,,,,,,,,,,,1986,Madonna,Live To Tell,37
4XX1pFUkQOZTYp6Hb6a6Ae,,,,,,,,,,,,,,,,1986,Bananarama,Venus,38
1ZszesnDwcH48WJGR03gO3,,,,,,,,,,,,,,,,1986,The Jets,Crush On You,39
0snPJPxkk0MbTc0xeUvAPt,,,,,,,,,,,,,,,,1986,Lionel Richie,Dancing On The Ceiling,40
