anchor,title,raw,calibrated,pack
00_core_modern,?,0.402,0.624625,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/00_core_modern/_packs/2025/11/11/2020_the_weeknd__blinding_lights__album/2020_the_weeknd__blinding_lights__album_20251111_211150.pack.json
00_core_modern,?,0.255,0.47762499999999997,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/00_core_modern/_packs/2025/11/11/2022_glass_animals__heat_waves__album/2022_glass_animals__heat_waves__album_20251111_211528.pack.json
00_core_modern,?,0.416,0.638625,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/00_core_modern/_packs/2025/11/11/2013_the_neighbourhood__sweater_weather__album/2013_the_neighbourhood__sweater_weather__album_20251111_205810.pack.json
11_latincrossover_eval,?,0.526,0.526,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/11_latincrossover_eval/_packs/2025/11/12/2025_bad_bunny__debi_tirar_mas_fotos__album/2025_bad_bunny__debi_tirar_mas_fotos__album_20251112_011007.pack.json
11_latincrossover_eval,?,0.435,0.435,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/11_latincrossover_eval/_packs/2025/11/12/2023_grupo_frontera_bad_bunny__un_x100to__album/2023_grupo_frontera_bad_bunny__un_x100to__album_20251112_010905.pack.json
11_latincrossover_eval,?,0.499,0.499,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/11_latincrossover_eval/_packs/2025/11/12/2018_camila_cabello_young_thug__havana__album/2018_camila_cabello_young_thug__havana__album_20251112_010258.pack.json
11_latincrossover_eval,?,0.538,0.538,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/11_latincrossover_eval/_packs/2025/11/12/2020_bad_bunny_jhay_cortez__dakiti__album/2020_bad_bunny_jhay_cortez__dakiti__album_20251112_010633.pack.json
11_latincrossover_eval,?,0.406,0.406,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/11_latincrossover_eval/_packs/2025/11/12/2021_farruko__pepas__album/2021_farruko__pepas__album_20251112_010754.pack.json
11_latincrossover_eval,?,0.459,0.459,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/11_latincrossover_eval/_packs/2025/11/12/2017_j_balvin_willy_william__mi_gente__album/2017_j_balvin_willy_william__mi_gente__album_20251112_010124.pack.json
11_latincrossover_eval,?,0.376,0.376,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/11_latincrossover_eval/_packs/2025/11/12/2019_luis_fonsi_daddy_yankee__despacito__album/2019_luis_fonsi_daddy_yankee__despacito__album_20251112_010513.pack.json
06_echo_2010_14,?,0.337,0.5720645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2014_taylor_swift__wildest_dreams__album/2014_taylor_swift__wildest_dreams__album_20251111_234029.pack.json
06_echo_2010_14,?,0.483,0.7180645161290322,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2012_pitbull_kesha__timber__album/2012_pitbull_kesha__timber__album_20251111_232226.pack.json
06_echo_2010_14,?,0.393,0.6280645161290324,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2011_gotye__somebody_that_i_used_to_know__album/2011_gotye__somebody_that_i_used_to_know__album_20251111_231649.pack.json
06_echo_2010_14,?,0.606,0.8410645161290322,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2012_carly_rae_jepsen__call_me_maybe__single/2012_carly_rae_jepsen__call_me_maybe__single_20251111_232009.pack.json
06_echo_2010_14,?,0.541,0.7760645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2014_ariana_grande__one_last_time__album/2014_ariana_grande__one_last_time__album_20251111_233211.pack.json
