year,year_end_rank,artist,title,spotify_id,match_source,ext_artist_raw,ext_title_raw,tempo,danceability,energy,loudness,valence,duration_ms
1985,37,Phil Collins,One More Night,6fkvIT9KFKxO8poBeKfaEf,id,['Phil Collins'],One More Night - 2016 Remaster,136.369,0.534,0.442,-9.442,0.343,288973
1985,38,Phil Collins,Don't Lose My Number,2ZIzyHDYsXIHUojfr6bAbO,id,['Phil Collins'],Don't Lose My Number - 2016 Remaster,80.614,0.585,0.832,-5.016,0.952,288547
1985,39,Sade,Smooth Operator,1Hv1VTm8zeOeybub15mA2R,id,['Sade'],Smooth Operator - Single Version,119.336,0.734,0.58,-6.619,0.962,258693
1985,40,Prince And The Revolution,Raspberry Beret,2I1W3hcSsPIsEJfD69pHrW,id,"['Prince', 'The Revolution']",Raspberry Beret,120.75,0.761,0.67,-12.759,0.91,215173
1986,1,Patti LaBelle & Michael McDonald,On My Own,5HrVgmO1govSOrPUehW1VV,id,['Patti LaBelle'],On My Own,92.093,0.62,0.402,-12.964,0.483,290840
1986,2,Level 42,Something About You,0GZzK43dJ6uNjOuitlCxDr,fuzzy,['Level 42'],Something About You - Single Version,104.893,0.689,0.863,-5.345,0.889,225733
1986,3,Nu Shooz,I Can't Wait,0KCCNoVVXBatkTRvKOEf2t,id,['Nu Shooz'],I Can't Wait,104.274,0.851,0.574,-13.622,0.84,326507
1986,4,Atlantic Starr,Secret Lovers,4nKPgKXfFiPW7cNex5oDtt,id,['Atlantic Starr'],Secret Lovers,74.142,0.339,0.379,-15.08,0.429,330667
1986,5,Carl Anderson & Gloria Loring,Friends And Lovers,19u5G7pWq3Nj6lQiP4W4Hp,id,"['Carl Anderson', 'Gloria Loring']",Friends And Lovers (feat. Gloria Loring),80.521,0.39,0.313,-9.928,0.157,226560
1986,6,Robert Palmer,Addicted To Love,5izGeTxueiFX1UPFGohY9w,id,"['Robert Palmer', ""Eric 'ET' Thorngren""]",Addicted To Love,111.617,0.702,0.578,-13.415,0.975,363640
1986,7,Glass Tiger,Don't Forget Me (When I'm Gone),2G0ioyDyvIT1hu71VePzOL,fuzzy,['Glass Tiger'],Don't Forget Me (When I'm Gone),109.837,0.612,0.697,-9.144,0.736,248027
1986,8,Steve Winwood,Higher Love,4ZExvJvQXPEeYzGU0N3THi,id,['Steve Winwood'],Higher Love,98.699,0.696,0.78,-12.159,0.954,351507
1986,9,Simply Red,Holding Back The Years,1yg7fwwYmx9DQ2TdXUmfpJ,id,['Simply Red'],Holding Back the Years - 2008 Remaster,86.035,0.707,0.514,-8.885,0.524,269840
1986,10,Billy Ocean,There'll Be Sad Songs (To Make You Cry),1mP8BJQBRZWjSQLVmxQEyG,id,['Billy Ocean'],There'll Be Sad Songs (To Make You Cry),79.738,0.563,0.458,-7.673,0.259,292680
1986,11,Miami Sound Machine,Words Get In The Way,5xbqrbNPBTAOGDA6GD3O46,id,['Miami Sound Machine'],Words Get In the Way,155.656,0.674,0.31,-17.352,0.56,205533
1986,12,Belinda Carlisle,Mad About You,1SWfuzL0VJx1oYnEtqueSr,fuzzy,['Belinda Carlisle'],Mad About You,143.797,0.596,0.655,-9.531,0.512,218227
1986,13,Sly Fox,Let's Go All The Way,6eLDMmVI7HF7W56cOrJj00,fuzzy,['Sly Fox'],Let's Go All The Way,98.25,0.659,0.808,-10.221,0.796,309013
1986,14,Peter Cetera,"Glory Of Love (Theme From ""The Karate Kid Part II"")",1eyq8cjUQ2daFthW2PC2GM,id,['Peter Cetera'],Glory of Love,144.998,0.518,0.585,-8.485,0.312,258120
